IdClaveEdo,IdClaveMun,Descripcion
"06","120","AQUILA"
"24","120","EBANO"
"24","120","VILLA DE RAMOS"
"24","121","VILLA DE GUADALUPE"
"24","121","TANCANHUITZ DE SANTOS"
"24","121","COXCATLAN"
"24","121","HUEHUETLAN"
"24","121","SAN ANTONIO"
"24","121","TAMPAMOLON CORONA"
"24","121","VENADO"
"24","121","MOCTEZUMA"
"24","121","XILITLA"
"24","121","AXTLA DE TERRAZAS"
"16","275","TARETAN"
"16","276","TINGUINDIN"
"16","277","TOCUMBO"
"16","278","TURICATO"
"16","279","URUAPAN"
"16","280","VENUSTIANO CARRANZA"
"16","281","ZACAPU"
"16","282","ZAMORA"
"16","283","ZITACUARO"
"16","284","TARIMBARO"
"17","285","AMACUZAC"
"17","286","AYALA"
"17","287","COATLAN DEL RIO"
"17","288","CUAUTLA"
"17","289","CUERNAVACA"
"17","290","EMILIANO ZAPATA"
"17","291","JIUTEPEC"
"17","292","JOJUTLA"
"17","293","JONACATEPEC"
"17","294","MAZATEPEC"
"17","295","MIACATLAN"
"17","296","PUENTE DE IXTLA"
"17","297","TEMIXCO"
"17","298","TEPOZTLAN"
"17","299","TETECALA"
"17","300","TLALTIZAPAN"
"17","301","TLAQUILTENANGO"
"17","302","TLAYACAPAN"
"17","303","X0CHITEPEC"
"17","304","YAUTEPEC"
"17","305","ZACATEPEC"
"18","306","XALISCO"
"18","307","STA MA DEL ORO"
"18","308","SANTIAGO IXCUINTLA"
"18","309","TEPIC"
"18","310","TUXPAN"
"19","311","ALLENDE"
"19","312","APODACA"
"19","313","CADEREYTA DE JIMENEZ"
"19","314","CARMEN"
"19","315","GARCIA"
"19","316","SAN PEDRO GARZA GARCIA"
"19","317","GENERAL ESCOBEDO"
"19","318","GENERAL TERAN"
"19","319","GUADALUPE"
"19","320","HUALAHUISES"
"19","321","JUAREZ"
"19","322","LINARES"
"19","323","MONTEMORELOS"
"19","324","MONTERREY"
"19","325","PESQUERIA"
"19","326","SABINAS HIDALGO"
"19","327","SALINAS VICTORIA"
"19","328","SAN NICOLAS DE LOS GARZA"
"19","329","SANTA CATARINA"
"19","330","SANTIAGO"
"20","331","ACATLAN DE PEREZ FIGUEROA OAX"
"20","332","CIUDAD IXTEPEC"
"20","333","COSOLAPA OAX"
"20","334","EL BARRIO DE LA SOLEDAD"
"20","335","IXTLAN DE JUAREZ"
"20","336","JUCHITAN DE ZARAGOZA"
"20","337","LOMA BONITA"
"20","338","MAGDALENA APASCO"
